architecture,image_name,bleu_4_LSTM,bleu_4_SimpleRNN,generated_caption_LSTM,generated_caption_SimpleRNN,avg_bleu_4,ground_truth
preinject_v2,2335619125_2e2034f2c3.jpg,0.7289545183625967,0.8408964152537145,a dog is running through the snow,a black dog is running through the grass,0.7849254668081556,<start> a big black dog bares its teeth while running through the snow <end> | <start> a black dog is running through the snow <end> | <start> a black dog is running through the snow <end> | <start> a black dog with his mouth open and tongue out runs across an expanse of snow <end> | <start> black dog runs through snow <end>
preinject_v2,2886411666_72d8b12ce4.jpg,0.3499635511580583,0.5985529678206387,a dog is running through the grass,a dog runs through the grass,0.4742582594893485,<start> a black brown and white dog is running beside a green fence in a grassy garden <end> | <start> a dog is galloping through the grass <end> | <start> a dog runs through a lush green lawn <end> | <start> a tricolored dog is running on the green grass <end> | <start> dog running through grass in fenced in area <end>
preinject_v2,950273886_88c324e663.jpg,0.5193071778680676,0.2899784414715207,a man in a red shirt is jumping on a rock,a man in a blue shirt is standing on a rock,0.40464280966979416,<start> a man grasps onto the rock face <end> | <start> a man in a red shirt attempts to climb a rock <end> | <start> a man wearing red climbs a large rock <end> | <start> man in red shirt climbing rock cliff <end> | <start> rock climber without a rope <end>
preinject_v2,2148916767_644ea6a7fa.jpg,0.1944130841813964,0.4549941404048037,a black dog is running through the grass,a dog is running through the snow,0.3247036122931001,<start> a black and white dog playing in the snow together <end> | <start> a black poodle jumping on the head of a white poodle while walking in the snow <end> | <start> black dog jumping over a white dog in a snowy path <end> | <start> two dogs playing in the snow <end> | <start> two poodles are running through the snow <end>
preinject_v2,3640109324_3ce89e4d1a.jpg,0.0077426364109627,0.0144001244467053,a man in a red shirt and a black and white and white and white and white and white and white and white and white and white and white and white and white and,a man in a red shirt and a woman in a red shirt and a black and white shirt,0.011071380428834,<start> a group of men carry a silver coffin <end> | <start> men carry a small structure on their shoulders while others play instruments behind <end> | <start> men in blue carrying something on their shoulders followed by a band <end> | <start> pall bearers at a catholic funeral <end> | <start> the men are wearing purple and carrying a silver casket <end>
preinject_v2,537359971_6e28f5e66e.jpg,0.0204689180374571,0.0117129164665507,a man in a black shirt is standing on a sidewalk,a woman in a white shirt and a woman in a red shirt and a white shirt and a black and white dog,0.0160909172520039,<start> two woman wearing skirts walking down the street together <end> | <start> two women in skirts walking across a street <end> | <start> two women ion skirts walk across a parking lot <end> | <start> two women wearing skirts and carrying purses cross street in urban area <end> | <start> two women with purses walk in an urban location <end>
preinject_v2,467858872_f3431df682.jpg,0.0166699871226248,0.0176805645149302,a dog is running through the snow,a small dog is running through the water,0.0171752758187775,<start> two dogs are bending over and looking down into a ditch to investigate <end> | <start> two dogs are digging under a large rock with their bottoms to the camera <end> | <start> two dogs are shown with only their tails and backsides as they dig in the dirt <end> | <start> two dogs are sniffing at the ground with their tails in the air <end> | <start> two dogs with their heads down a hole and their tails are sticking straight up <end>
preinject_v2,2244551043_21b8cca866.jpg,0.0145584912178549,0.0283392961760528,a man in a red shirt and a black and white and white and white and white and white and white and white and white and white and white and white and white and,a man in a red shirt and a woman in a red shirt and a black and white dog,0.021448893696953852,<start> four people are lining up to purchase tickets at the theater <end> | <start> four people standing outside of an outdoor ticket booth <end> | <start> four people wait outside in a line for ticket <end> | <start> the man and woman at the window are turned around to the man and woman behind them <end> | <start> two men and two women standing at the window of a ticket booth <end>
preinject_v2,226607225_44d696db6b.jpg,0.0720117072828492,0.0670144447096575,a dog is running through the water,a man is jumping over a hurdle,0.06951307599625335,<start> a green fish is jumping out of water <end> | <start> a large fish breaching the water s surface <end> | <start> a large green and blue fish leaps from the water <end> | <start> a large green fish jumps out of the water <end> | <start> the large green fish is jumping out of the water <end>
preinject_v2,3431101934_99a6c55914.jpg,0.0684067659842127,0.0717585291477213,a young boy is jumping on a rock,a girl in a blue shirt is jumping on a swing,0.070082647565967,<start> one little girl dressed in pink watches another also wearing some pink jump on the trampoline <end> | <start> two girls are jumping on the trampoline in a backyard <end> | <start> two girls in pink on trampoline one sitting and one jumping <end> | <start> two little girls on a trampoline and a playhouse is behind them <end> | <start> two small girls are jumping on an outdoor trampoline in a backyard <end>
